Player,Team,GP,PAT Made,PAT Miss,FG 20-29,FG 30-39,FG 40-49,FG 50+,FG Miss 40-49,FG Miss 50+,Tack,POS
Chris Boswell,PIT,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,K
Matt Bryant,ATL,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K
Randy Bullock,CIN,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,K
Harrison Butker,KC,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,K
Chandler Catanzaro,CAR,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,K
Mason Crosby,GB,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,K
Phil Dawson,ARI,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K
Jake Elliott,PHI,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,K
Ka'imi Fairbairn,HOU,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,K
Sam Ficken,,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,K
Graham Gano,CAR,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,K
Stephen Gostkowski,NE,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,K
Robbie Gould,SF,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,K
Stephen Hauschka,BUF,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,K
Dustin Hopkins,WAS,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,K
Sebastian Janikowski,SEA,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,K
Greg Joseph,CLE,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,K
Josh Lambo,JAX,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,K
Wil Lutz,NO,1.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,K
Brett Maher,DAL,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,K
Brandon McManus,DEN,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K
Jason Myers,NYJ,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,K
Mike Nugent,OAK,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,K
Cody Parkey,CHI,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,K
Matt Prater,DET,1.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,K
Aldrick Rosas,NYG,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,K
Jason Sanders,MIA,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K
Caleb Sturgis,,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,K
Ryan Succop,TEN,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,K
Justin Tucker,BAL,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,K
Adam Vinatieri,IND,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,K
